GitHub Copilot Tool Curriculum  |    Challenge: UAT Code Protection Built-In,,,,,,,,
Module,Module Title, ADLC Phase,Key Topics,Hands-On Labs,Learning Outcomes,UAT/Code Quality Gate,Challenge Response Note,Type
M4,Core Coding Workflows with Copilot,Model Development,"  Accepting, cycling, rejecting suggestions",  Build a small feature using Copilot (scoped to feature branch only),  Use Copilot effectively within defined scope,"Gate: After every Copilot coding session, run: git diff --stat HEAD. Review scope — any unexpected file touched? Escalate to lead.",Challenge: 'AI changing code that passed UAT' is caught HERE — mandatory git diff review after every session.,Lab
,,,  Editing generated code — developer remains accountable,  Refactor legacy code with Copilot — track every changed line via git diff,  Track and review every AI-generated change,,,
,,,  Multi-line & multi-file completions: scope awareness,  Debug broken code using Copilot Chat — validate explanation before accepting fix,  Develop 'trust-but-verify' mindset for all Copilot suggestions,,,
,,,"  Copilot Chat: explain, refactor, debug, generate from requirements",,,,,
,,,  DANGER ZONE: when to refuse a Copilot suggestion,,,,,
M5,"Testing, Documentation & Review Automation",Training & Evaluation,  Unit test generation & edge case identification,  Generate tests for existing code — compare with existing test suite,  Generate comprehensive test coverage with Copilot,Gate: Test Coverage Delta check — CI verifies coverage does NOT decrease after Copilot-generated tests are added. Any drop = PR blocked.,"P4 eval gate: Copilot-generated tests are ADDED to existing suite, never replacing it. Coverage must increase or stay flat.",Lab
,,,"  Documentation generation (code comments, API docs)",  Auto-generate documentation,  Protect existing test suite from AI modification,,,
,,,  PR descriptions & commit message generation,  Create PR summary — include AI attribution statement,"  Produce accurate, attributed PR descriptions",,,
,,,  GitHub workflow support,  Lab: Identify cases where Copilot simplifies or removes tests,,,,
,,,  CRITICAL: Copilot-generated tests must not replace existing UAT-passing tests,,,,,
M6,Building Reusable Skills (SKILL.md Pattern),Model Development,"  SKILL.md anatomy: name, description, trigger, constraints, examples",  Lab 1: Author SKILL.md for reusable data-validation utility; invoke from Copilot Chat,"  Design reusable, version-controlled Copilot skills","Gate: Every SKILL.md must include a CONSTRAINTS section listing: UAT-locked files, forbidden operations, required test outcomes.",P6 CoP asset: SKILL.md files are the shareable artefacts for the best-practices library. Each vertical publishes its SKILL.md pack.,Skills / Lab
,,,  Writing skill files Copilot can discover across projects,  Lab 2: Create copilot-instructions.md with UAT-locked module list; observe how suggestions change,  Encode UAT-protection constraints in SKILL.md,,,
,,,  copilot-instructions.md as project-level skill wrapper,  Lab 3: Build shared 'API wrapper' skill; publish to team GitHub repo,  Build team skill library for shared components,,,
,,,"  Component-level skills: shared utilities, API wrappers, test harnesses",  Lab 4: Wrap RAG pipeline (M8) and Text2SQL tool (M8) as named skills for router agent (M9),,,,
,,,"  Skills as living documentation: versioning, DRI, deprecation",,,,,
,,,  Cross-team skill library: publishing & consuming shared skill packs,,,,,
,,,  Skill-driven dev cycle: define → generate → validate → commit,,,,,
,,,  SKILL.md constraint block: encoding UAT-protection rules,,,,,
,,,  RAG tool and Text2SQL tool skill wrappers (M8 prep),,,,,
M7,Eval-Driven Development (EDD),Training & Evaluation,  EDD: write the eval BEFORE building the system,  Lab 1: Write promptfoo eval for code-gen prompt; define pass/fail; run and interpret,  Apply EDD to Copilot-assisted development,"Gate: GitHub Actions pipeline: eval gate runs BEFORE any Copilot-generated code is merged. Failure = PR blocked, author notified with specific eval scores.",Core challenge fix: EDD eval gates catch AI-induced regressions automatically in CI — before they reach UAT.,Eval / Lab
,,,"  Why AI systems need evals: non-determinism, drift, hallucination",  Lab 2: Build RAGAS eval harness for RAG system (M8 preview); measure faithfulness,"  Build eval harnesses for RAG, Text2SQL, agentic pipelines",,,
,,,"  Eval types: unit, integration, human preference, regression",  Lab 3: Write SQL correctness eval for Text2SQL (M8 preview); compare Copilot SQL vs expected,  Embed eval gates in CI/CD pipeline,,,
,,,  Writing evals with Copilot — generating eval harnesses and test cases,  Lab 4: Add GitHub Actions eval gate — PR blocked if pass-rate < 80%,,,,
,,,"  Eval frameworks: promptfoo, RAGAS, LangSmith, GitHub Actions eval pipelines",,,,,
,,,  EDD workflow: write eval → build system → pass eval → refactor safely,,,,,
,,,"  Coverage metrics: correctness, groundedness, faithfulness, latency",,,,,
,,,  CI eval gates: GitHub Actions blocking PRs on eval failure,,,,,
,,,"  Applying EDD to RAG (M8), Text2SQL (M8), Agentic (M9)",,,,,
M8,RAG · Text2SQL · CI/CD Integration,Model Development,  Context awareness in Copilot; personalisation; repository/file context,  Lab 1: Use project context for generation; compare contextual vs non-contextual output,  Build RAG extension and Text2SQL with Copilot,"Gate: RAG faithfulness ≥ 0.85 (RAGAS); Text2SQL correctness ≥ 90%. Below threshold → PR blocked, must iterate.","P3+P4 combined: Build (P3) then immediately eval-gate (P4). Skill wrapping (M6) ensures router agent has clean, tested interface.",Lecture / Demo
,,,  RAG with Copilot Extensions & Custom Knowledge Bases,  Lab 2 (RAG): Build Copilot Extension with custom KB; run RAGAS eval from M7; measure faithfulness before/after tuning,  Eval-validate both systems before handing to agent,,,
,,,  — Extensions API; custom KB indexing; @kb-references in Copilot Chat,  Lab 3 (Text2SQL): Write 5 NL questions → SQL → test on PostgreSQL; SQL correctness eval ≥ 90%,  Integrate Copilot into GitHub Actions pipeline,,,
,,,  — Building Extension calling external vector search,  Lab 4: Wrap RAG + Text2SQL as SKILL.md entries (M6) discoverable by router agent (M9),,,,
,,,"  — KB quality: coverage, staleness detection, refresh cadence",,,,,
,,,  Text-to-SQL via Copilot: NL → Database Queries,,,,,
,,,  — Schema injection techniques for accurate SQL,,,,,
,,,"  — Security guardrails: parameterised queries, injection awareness",,,,,
,,,"  Copilot CLI, GitHub Actions & CI/CD integration",,,,,
,,,  EDD integration (M7): RAGAS on RAG; SQL correctness on Text2SQL,,,,,
M9,Agentic AI Workflows with GitHub Copilot,Model Development,  Agentic AI Workflows — concepts & architecture,  Lab 1: Enable Copilot Agent Mode; multi-step feature build,  Build agentic workflows with Copilot,Gate: Agent eval pass-rate ≥ 85% (routing accuracy + tool-call success + answer correctness) before PR opened. HITL approval mandatory for production agents.,HITL checkpoint is the human review gate that catches AI-induced surprises before they reach UAT.,Agent Workflow
,,,  Copilot Agent Mode (VS Code) — multi-step autonomous coding,  Lab 2: Copilot Workspace — resolve GitHub Issue end-to-end autonomously,  Implement Router Agent orchestrating RAG and Text2SQL,,,
,,,  GitHub Copilot Extensions — custom agents,  Lab 3 (Router Agent): Build agent that classifies NL query → routes to RAG or Text2SQL → returns grounded answer using M6 SKILL.md as tool interface,  Eval-validate before any agent PR merges,,,
,,,"  Multi-file, multi-step code generation and refactoring agents",  Lab 4 (Eval gate): M7 agent eval; routing accuracy + tool-call success; PR blocked if < 85%,,,,
,,,  Copilot Workspace — issue-to-PR agentic pipeline,"  Lab 5: HITL review — approve, override, or redirect the router agent",,,,
,,,  Orchestrating: plan → code → test → commit → PR,,,,,
,,,  Router Agent: classifies queries → routes to RAG or Text2SQL tools (M6 SKILL.md interface),,,,,
,,,  GitHub Actions & external API integration,,,,,
,,,  HITL checkpoints & responsible agent design,,,,,
,,,"  Eval-driven agentic dev: M7 evals on routing accuracy, tool-call correctness, safety",,,,,
M10,Productizing Copilot-Assisted Workflows,Deployment & Monitoring,"  Productization: from demo to shippable, maintainable system",  Lab 1 (Pipeline): Build full pre-PR GitHub Actions pipeline:,  Implement no-gaps pre-PR pipeline,Gate: The 7-step pipeline IS the gate. PR cannot be opened until all 7 steps pass. No manual override without VP-level approval + audit log entry.,This module directly addresses the challenge: 7-step automated pipeline catches AI regressions before any human reviews or UAT is touched.,Lecture / Lab
,,,  'No breaks before the PR' principle — quality gates that MUST pass,  Step 1: Copilot generates (Agent Mode),  Apply productization checklist to AI-assisted system,,,
,,,"  Productization checklist: code quality, test coverage, eval pass-rate, security scan, documentation, SKILL.md currency, reviewer sign-off",  Step 2: ESLint/Ruff linter,  Build observability and rollback for AI-powered features,,,
,,,  Branch protection rules + required status checks,  Step 3: Unit tests (from M5); fail blocks PR,,,,
,,,  Pre-PR automation pipeline:,  Step 4: M7 eval gate (promptfoo + RAGAS + SQL correctness),,,,
,,,  Copilot generates → linter → unit tests → eval gate → security scan → docs auto-generated → PR draft opened,  Step 5: GitHub Advanced Security scan,,,,
,,,"  GitHub Actions: chaining Copilot, evals, checks into single pipeline",  Step 6: Copilot auto-generates PR description + changelog,,,,
,,,"  Making skills production-ready: SKILL.md review, DRI, SLA, versioning",  Step 7: PR draft opened ONLY if all 6 steps pass,,,,
,,,  Environment promotion: dev → staging → prod with eval gates at each stage,  Lab 2: Apply productization checklist to M9 Router Agent,,,,
,,,"  Observability: logging, tracing, monitoring agent outputs","  Lab 3 (Skill audit): Review M6 SKILL.md for production-readiness — version pinned, DRI assigned, deprecation policy documented",,,,
,,,  Rollback: when Copilot-assisted feature degrades production,"  Lab 4 (Observability): Structured logging + dashboard tracking router agent calls, tool selections, eval score trends",,,,
,,,"  Team agreements: gate bypass conditions, audit trail",,,,,
,,,  Case study: RAG + Text2SQL + Router Agent taken to production,,,,,
M11,"Responsible AI, Security & Compliance",P5 – Deployment & Monitoring,"  Responsible AI: hallucinations, human review, avoiding over-reliance",  Review insecure Copilot-generated code; identify and fix security issues,  Apply responsible AI principles to Copilot-assisted development,Gate: Security scan (GitHub Advanced Security) is mandatory for every AI-attributed PR. ANY high/critical finding = PR blocked pending remediation.,P5 hardening: Code review remains a HUMAN gate. AI accelerates; humans are accountable. Policy document is the CoP's operating agreement.,Lecture / Lab
,,,"  Copilot's knowledge horizon: private code gaps, post-cutoff APIs",  Identify compliance/security issues in AI-generated PR,  Identify security risks in AI-generated code,,,
,,,"  IP and licensing: duplication filter, org policies for high-risk suggestions",  Review agent-generated PR (M9) for security anti-patterns,  Define and enforce team-level AI governance,,,
,,,"  Security: insecure code detection (SQL injection, path traversal), secrets management",  Define team AI policy document: acceptance criteria + review gates + UAT protection rules,,,,
,,,"  Ethics, IP & Licensing: code ownership, open-source licensing, compliance",,,,,
,,,"  Responsible agentic AI: guardrails, audit trails, HITL review gates",,,,,
,,,"  Team-level AI policies: acceptance criteria, mandatory review gates",,,,,
,,,"  Code review as  ADLC gate: Copilot accelerates writing; humans accountable for correctness, security, intent",,,,,
,,,  Post-incident review: when AI-generated code causes production issues,,,,,
M12,Productivity Metrics & End-to-End Workflow,Continuous Learning,  Measuring Copilot productivity impact,"  Capstone: Generate code, debug, refactor, generate tests, documentation, commit/PR summary end-to-end",  Deliver complete AI-assisted feature with full eval evidence,"Gate: Capstone eval scorecard presented publicly. Any metric below threshold = identified for improvement plan, not failure — learning is the goal.",P6 culmination: The CoP KB lab IS the challenge answer — structured incident capture and cross-team sharing is how learnings persist and propagate.,Activity
,,,  When to use / when NOT to use Copilot (and agents),  Capstone Extension: Repeat using Agent Mode (M9 Router Agent); compare manual vs agentic quality and time,  Operate team skill library and CoP process,,,
,,,  Best practices for teams using agentic workflows,  Final eval run: execute full M7 eval suite on capstone deliverable; present eval scorecard,  Apply continuous learning discipline to AI tool usage,,,
,,,  End-to-end AI-assisted workflow: Write → Review → Test → Commit → Document,  CoP Lab: Document one real (or simulated) AI code-quality incident from the course using the KB template; present root cause + prevention to cohort,,,,
,,,  Agentic SDLC: Issue → Plan → Code → Test → PR (fully AI-assisted),,,,,
,,,  Skills library maintenance: SKILL.md files current across teams,,,,,
,,,  Eval as continuous practice: EDD embedded in team PR culture,,,,,
,,,  Community of Practice: capturing & sharing lessons across verticals,,,,,
,,,  AI-incident retrospective process: root cause → KB entry → SKILL.md update → CoP share,,,,,
